FILE_ID	SENTENCE	GENE	PHENOTYPE	GENE_ID	PHENOTYPE_ID	GENE_START_POSITION	GENE_END_POSITION	PHENOTYPE_START_POSITION	PHENOTYPE_END_POSITION	RELATION	CONFIRMATION	NOTES/TYPES OF UNCERTAIN	NOTES		Count
28427240	<i>In silico</i> human gene expression analysis confirmed the down regulation of PrKD1 in metastatic prostate cancer correlated inversely with the expression of MAX, but not MYC, and positively with MXD1, a competing heterodimer of MAX, suggesting that the dimerization of MAX with either MYC or MXD1 regulates <i>PrKD1</i> gene expression.	MXD1	cancer	4084	HP_0002664	199	203	110	116	FALSE	I	Ug2		Ug1	43
30384806	<i>In vitro</i> analysis revealed that knockdown of WWOX protein in neuroblastoma cells results in aggregation of TRAPPC6AΔ, TIAF1, amyloid β, and Tau in a sequential manner.	APP	neuroblastoma	351	HP_0003006	116	119	68	81	FALSE	U	Ug5		Ug3	305
27753269	<i>LCAM1</i> and <i>MPDZ</i> (<i>MUPP1</i>) are the only known human gene loci associated with non-syndromic hydrocephalus.	MPDZ	hydrocephalus	84708	HP_0000238	20	24	109	122	FALSE	I			Ug4	11
29725255	<i>Results:</i> The number of positive cells of TAZ and YAP in malignant melanoma tumor tissues was significantly higher than that in melanocytic nevi tissues, and the expression of both proteins was positively correlated with malignant melanoma (r = 0.687, P &lt;0.01); TAZ and YAP protein expression in malignant melanoma tissue was significantly correlated with tumor thickness, invasive depth grade, lymph node metastasis and TNM stages (P &lt;0.05), and increased with TNM staging.	TAZ	tumor	25937	HP_0002664	48	51	82	87	FALSE	I	Ug2		Ug5	496
29367767	<i>Results:</i> The number of positive cells of TAZ and YAP in malignant melanoma tumor tissues was significantly higher than that in melanocytic nevi tissues, and the expression of both proteins was positively correlated with malignant melanoma (r = 0.687, P &lt;0.01); TAZ and YAP protein expression in malignant melanoma tissue was significantly correlated with tumor thickness, invasive depth grade, lymph node metastasis and TNM stages (P &lt;0.05), and increased with TNM staging.	YAP	tumor	55249	HP_0002664	56	59	82	87	FALSE	I	Ug2		Total	873
30007115	5'-Aza-2'-deoxycytidine (5-Aza-dC) is a demethylating drug that causes genome-wide hypomethylation resulting in the expression of several tumor suppressor genes causing growth arrest of cancer cells.	dC	cancer	1641	HP_0002664	31	33	186	192	FALSE	U	Ug5			%
27312022	6q14 deletions have been associated with intellectual disability and a distinct pattern of minor anomalies, including upslanted palpebral fissures with epicanthal folds, a short nose with broad nasal tip, anteverted nares, long philtrum, and thin upper lip.	tip	short nose	81533	HP_0003196	200	203	172	182	FALSE	U	Ug5		Ud	1.0
29359854	6q14 deletions have been associated with intellectual disability and a distinct pattern of minor anomalies, including upslanted palpebral fissures with epicanthal folds, a short nose with broad nasal tip, anteverted nares, long philtrum, and thin upper lip.	tip	upslanted palpebral fissures	81533	HP_0000582	200	203	118	146	FALSE	U	Ug5		Ug1	4.9
27889060	A 9-month-old intact crossbred female cat was presented with jaundice, intermittent anorexia and lethargy, increased hepatic enzyme activities, and hyperammonemia.	cat	hyperammonemia	847	HP_0001987	38	41	148	162	FALSE	U	Ug5		Ug3	34.9
29322514	A case with ARX (C.700G&gt;A) had seizure controlled for 6 mouths.	ARX	seizure	10054	HP_0001250	12	15	34	41	FALSE	U	Ug3		Ug4	1.3
29909407	A case with GAMT deficiency (homozygous c.64dupG mutation) presented with neurodevelopmental delay, rare seizures, behavioral disturbances, and mild hypotonia, posing diagnostic challenges.	GAMT	seizures	2593	HP_0001250	12	16	105	113	TRUE	C			Ug5	56.8
25964267	A combination of both EGFP-EGF1 modification and PDT provided a positive feed-back target effect to tumor vessels and might have a great potential for tumor therapy	great	tumor	122042	HP_0002664	131	136	100	105	FALSE	U	Ug5			
29057908	A de novo heterozygous p.Pro209Leu (c.626C&gt;T) mutation in BAG3 was identified in a female myopathy.	BAG3	myopathy	9531	HP_0003198	61	65	93	101	TRUE	C				
30015898	A further XX male, ascertained because of intellectual disability, carried a de novo cryptic duplication at Xq27.1, involving SOX3.	cryptic	intellectual disability	55997	HP_0001249	85	92	42	65	FALSE	U	Ug5			
30132828	A further XX male, ascertained because of intellectual disability, carried a de novo cryptic duplication at Xq27.1, involving SOX3.	SOX3	intellectual disability	6658	HP_0001249	126	130	42	65	TRUE	C				
28453560	A GARP complex mutation analogous to a VPS53 allele causing progressive cerebello-cerebral atrophy type 2 (PCCA2) in humans exhibits similar, albeit weaker, phenotypes in yeast, providing mechanistic insights into disease pathogenesis.	VPS53	cerebral atrophy	55275	HP_0002059	39	44	82	98	TRUE	C				
29053855	A GARP complex mutation analogous to a VPS53 allele causing progressive cerebello-cerebral atrophy type 2 (PCCA2) in humans exhibits similar, albeit weaker, phenotypes in yeast, providing mechanistic insights into disease pathogenesis.	GARP	cerebral atrophy	1258	HP_0002059	2	6	82	98	FALSE	I				
28716533	A genetically determined generalized hyperexcitability had been predicted in primarily generalized seizures, but surprisingly the first epilepsy gene discovered, CHRNA4, was in a focal (frontal lobe)-onset syndrome.	CHRNA4	seizures	1137	HP_0001250	162	168	99	107	TRUE	C				
29215551	A heterozygous mutation (c.643C&gt;A; p.Q215X) in the monocarboxylate transporter 12-encoding gene MCT12 (also known as SLC16A12) that mediates creatine transport was recently identified as the cause of a syndrome with juvenile cataracts, microcornea, and glucosuria in a single family.	MCT12	cataracts	387700	HP_0000518	99	104	228	237	TRUE	C				
27449031	A high proportion of tumors harbors multiple mutations, especially PIK3CA plus PIK3R1 mutations (9.0%).	PIK3CA	tumors	5290	HP_0002664	67	73	21	27	TRUE	C				
26866375	A high proportion of tumors harbors multiple mutations, especially PIK3CA plus PIK3R1 mutations (9.0%).	PIK3R1	tumors	5295	HP_0002664	79	85	21	27	TRUE	C				
27840983	A large proportion of cases (approximately 44%) remain unexplained, indicating that PRA in this breed is genetically heterogeneous and caused by at least three mutations.	PRA	heterogeneous	6277	HP_0001425	84	87	117	130	FALSE	U	Ug3			
22383991	A large, complex, and robust gene network containing well-known lung cancer-related genes, including EGFR and TERT, was identified from combined gene lists for lung adenocarcinoma.	TERT	cancer	7015	HP_0002664	110	114	69	75	TRUE	C				
25863124	A large, complex, and robust gene network containing well-known lung cancer-related genes, including EGFR and TERT, was identified from combined gene lists for lung adenocarcinoma.	EGFR	lung adenocarcinoma	1956	HP_0030078	101	105	160	179	FALSE	I				
28938437	A MMP9 inhibitor significantly inhibited cell invasion and migration in ALDOA-HIF-1α axis-induced lung cancer.	ALDOA	cancer	226	HP_0002664	72	77	103	109	FALSE	C				
27866705	A novel hereditary disorder encompassing high blood Mn levels, dystonia, polycythemia, distinctive T1 hyperintense signals in the basal ganglia on magnetic resonance imaging (MRI) brain, and chronic liver disease was recently described.	T1	dystonia	921	HP_0001332	99	101	63	71	FALSE	U	Ug5			
26547929	A novel missense mutation (c.1462G&gt;A, p.Ala488Thr, A488T) adjacent to this hotspot UBQLN2 domain was identified in a sporadic case of ALS.	ALS	sporadic	3483	HP_0003745	137	140	120	128	FALSE	U	Ug3			
30513714	A panel of hypermethylated genes including APC, CSPG2, EPHA5, EYA4, HOXA9, IPF1, ISL1, JAK3, PITX2, SOX1, and TWIST1 predicted cancer-specific survival and SOX1 (HR = 3.46), PITX2 (HR = 4.17), CSPG2 (HR = 5.35), and JAK3 hypermethylation (HR = 0.19) did so independently.	TWIST1	cancer	7291	HP_0002664	110	116	127	133	TRUE	C				
27765924	A panel of hypermethylated genes including APC, CSPG2, EPHA5, EYA4, HOXA9, IPF1, ISL1, JAK3, PITX2, SOX1, and TWIST1 predicted cancer-specific survival and SOX1 (HR = 3.46), PITX2 (HR = 4.17), CSPG2 (HR = 5.35), and JAK3 hypermethylation (HR = 0.19) did so independently.	EPHA5	cancer	2044	HP_0002664	55	60	127	133	FALSE	I				
24443915	A panel of hypermethylated genes including APC, CSPG2, EPHA5, EYA4, HOXA9, IPF1, ISL1, JAK3, PITX2, SOX1, and TWIST1 predicted cancer-specific survival and SOX1 (HR = 3.46), PITX2 (HR = 4.17), CSPG2 (HR = 5.35), and JAK3 hypermethylation (HR = 0.19) did so independently.	EYA4	cancer	2070	HP_0002664	62	66	127	133	FALSE	I				
28298625	A panel of hypermethylated genes including APC, CSPG2, EPHA5, EYA4, HOXA9, IPF1, ISL1, JAK3, PITX2, SOX1, and TWIST1 predicted cancer-specific survival and SOX1 (HR = 3.46), PITX2 (HR = 4.17), CSPG2 (HR = 5.35), and JAK3 hypermethylation (HR = 0.19) did so independently.	IPF1	cancer	8050	HP_0002664	75	79	127	133	FALSE	I				
30222780	A panel of hypermethylated genes including APC, CSPG2, EPHA5, EYA4, HOXA9, IPF1, ISL1, JAK3, PITX2, SOX1, and TWIST1 predicted cancer-specific survival and SOX1 (HR = 3.46), PITX2 (HR = 4.17), CSPG2 (HR = 5.35), and JAK3 hypermethylation (HR = 0.19) did so independently.	ISL1	cancer	3670	HP_0002664	81	85	127	133	FALSE	I				
29956815	A panel of hypermethylated genes including APC, CSPG2, EPHA5, EYA4, HOXA9, IPF1, ISL1, JAK3, PITX2, SOX1, and TWIST1 predicted cancer-specific survival and SOX1 (HR = 3.46), PITX2 (HR = 4.17), CSPG2 (HR = 5.35), and JAK3 hypermethylation (HR = 0.19) did so independently.	PITX2	cancer	5308	HP_0002664	93	98	127	133	FALSE	I				
23408445	A plethora of human diseases are associated with mutations in the genes encoding human SLC26 transporters, including chondrodysplasias with varying severity in SLC26A2 (~50 mutations, 27 point mutations), congenital chloride-losing diarrhea in SLC26A3 (~70 mutations, 31 point mutations) and Pendred Syndrome or deafness autosomal recessive type 4 in SLC26A4 (~500 mutations, 203 point mutations).	type	deafness	6445	HP_0000365	341	345	312	320	FALSE	U	Ug5			
28621321	A plethora of human diseases are associated with mutations in the genes encoding human SLC26 transporters, including chondrodysplasias with varying severity in SLC26A2 (~50 mutations, 27 point mutations), congenital chloride-losing diarrhea in SLC26A3 (~70 mutations, 31 point mutations) and Pendred Syndrome or deafness autosomal recessive type 4 in SLC26A4 (~500 mutations, 203 point mutations).	SLC26A2	deafness	1836	HP_0000365	160	167	312	320	TRUE	C				
23918659	A principal feature of AD is the presence of neurofibrillary tangles (NFT) induced by the aberrant phosphorylation of the microtubule-associated protein tau in the brains of affected individuals.	tau	neurofibrillary tangles	4137	HP_0002185	153	156	45	68	TRUE	U	Ug5			
26626801	A rare syndromic form of intellectual disability with impaired speech was recently found associated with mutations in CHAMP1 (chromosome alignment-maintaining phosphoprotein 1), the protein product of which is directly involved in microtubule-kinetochore attachment.	CHAMP1	intellectual disability	283489	HP_0001249	118	124	25	48	TRUE	C				
29046478	A retrospective series of 52 sporadic primary surgically resected SI-NETs, which were metastatic at diagnosis, was analyzed by high-coverage target sequencing (HCTS) for the mutational status of 57 genes and copy number status of 40 genes selected from recently published genome sequencing data.	NETs	sporadic	11005	HP_0003745	69	73	29	37	FALSE	U	Ug3			
25357075	A risk score of 4, 4, 6, 6, 7, or 6 was assigned to diabetes, baseline estimated GFR &lt; 45 mL/min/1.73 m, hypertension, repeated contrast exposure, congestive heart failure, and persistent renal injury (defined as an elevation of serum creatinine ≥25% at 3 months), respectively.	GFR	congestive heart failure	9771	HP_0001635	81	84	150	174	FALSE	U	Ug3			
29121203	A risk score of 4, 4, 6, 6, 7, or 6 was assigned to diabetes, baseline estimated GFR &lt; 45 mL/min/1.73 m, hypertension, repeated contrast exposure, congestive heart failure, and persistent renal injury (defined as an elevation of serum creatinine ≥25% at 3 months), respectively.	GFR	hypertension	9771	HP_0000822	81	84	108	120	FALSE	U	Ug3			
28368009	A syndromic form of CSD features choanal and intestinal atresias as well as recurrent corneal erosions.	CSD	intestinal atresias	51380	HP_0011100	20	23	45	64	FALSE	U	Ug3			
29635281	A systematic study of serial samples from 30 patients show that ASXL1 c.1934dupG is a somatic mutation in haematological neoplasms including MDS, AML, MPN and MDS/MPN and often is associated with somatic mutations of TET2, EZH2, IDH2, RUNX1, NRAS and DNMT3A.	MDS	neoplasms	5048	HP_0002664	141	144	121	130	FALSE	U	Ug3			
26164209	A systematic study of serial samples from 30 patients show that ASXL1 c.1934dupG is a somatic mutation in haematological neoplasms including MDS, AML, MPN and MDS/MPN and often is associated with somatic mutations of TET2, EZH2, IDH2, RUNX1, NRAS and DNMT3A.	NRAS	somatic mutation	4893	HP_0001428	242	246	86	102	TRUE	C				
22744456	A systematic study of serial samples from 30 patients show that ASXL1 c.1934dupG is a somatic mutation in haematological neoplasms including MDS, AML, MPN and MDS/MPN and often is associated with somatic mutations of TET2, EZH2, IDH2, RUNX1, NRAS and DNMT3A.	TET2	somatic mutation	54790	HP_0001428	217	221	86	102	TRUE	C				
30463805	A systematic study of serial samples from 30 patients show that ASXL1 c.1934dupG is a somatic mutation in haematological neoplasms including MDS, AML, MPN and MDS/MPN and often is associated with somatic mutations of TET2, EZH2, IDH2, RUNX1, NRAS and DNMT3A.	EZH2	neoplasms	2146	HP_0002664	223	227	121	130	FALSE	I				
30012424	A systematic study of serial samples from 30 patients show that ASXL1 c.1934dupG is a somatic mutation in haematological neoplasms including MDS, AML, MPN and MDS/MPN and often is associated with somatic mutations of TET2, EZH2, IDH2, RUNX1, NRAS and DNMT3A.	RUNX1	somatic mutation	861	HP_0001428	235	240	86	102	FALSE	I				
28362817	A third of patients with paraganglial tumors, pheochromocytoma, and paraganglioma, carry germline mutations in one of the susceptibility genes, RET, VHL, NF1, SDHAF2, SDHA, SDHB, SDHC, SDHD, TMEM127, and MAX.	RET	tumors	5979	HP_0002664	144	147	38	44	TRUE	C				
26965286	A third of patients with paraganglial tumors, pheochromocytoma, and paraganglioma, carry germline mutations in one of the susceptibility genes, RET, VHL, NF1, SDHAF2, SDHA, SDHB, SDHC, SDHD, TMEM127, and MAX.	RET	paraganglioma	5979	HP_0002668	144	147	68	81	TRUE	C				
28870817	A third of patients with paraganglial tumors, pheochromocytoma, and paraganglioma, carry germline mutations in one of the susceptibility genes, RET, VHL, NF1, SDHAF2, SDHA, SDHB, SDHC, SDHD, TMEM127, and MAX.	SDHAF2	paraganglioma	54949	HP_0002668	159	165	68	81	TRUE	C				
28346042	A third of patients with paraganglial tumors, pheochromocytoma, and paraganglioma, carry germline mutations in one of the susceptibility genes, RET, VHL, NF1, SDHAF2, SDHA, SDHB, SDHC, SDHD, TMEM127, and MAX.	SDHC	tumors	6391	HP_0002664	179	183	38	44	TRUE	C				
26855408	A third of patients with paraganglial tumors, pheochromocytoma, and paraganglioma, carry germline mutations in one of the susceptibility genes, RET, VHL, NF1, SDHAF2, SDHA, SDHB, SDHC, SDHD, TMEM127, and MAX.	SDHD	paraganglioma	6392	HP_0002668	185	189	68	81	TRUE	C				
28106506	A third of patients with paraganglial tumors, pheochromocytoma, and paraganglioma, carry germline mutations in one of the susceptibility genes, RET, VHL, NF1, SDHAF2, SDHA, SDHB, SDHC, SDHD, TMEM127, and MAX.	SDHD	tumors	6392	HP_0002664	185	189	38	44	TRUE	C				
30177679	A third of patients with paraganglial tumors, pheochromocytoma, and paraganglioma, carry germline mutations in one of the susceptibility genes, RET, VHL, NF1, SDHAF2, SDHA, SDHB, SDHC, SDHD, TMEM127, and MAX.	TMEM127	pheochromocytoma	55654	HP_0002666	191	198	46	62	TRUE	C				
30813130	A third of patients with paraganglial tumors, pheochromocytoma, and paraganglioma, carry germline mutations in one of the susceptibility genes, RET, VHL, NF1, SDHAF2, SDHA, SDHB, SDHC, SDHD, TMEM127, and MAX.	TMEM127	tumors	55654	HP_0002664	191	198	38	44	TRUE	C				
22419069	A third of patients with paraganglial tumors, pheochromocytoma, and paraganglioma, carry germline mutations in one of the susceptibility genes, RET, VHL, NF1, SDHAF2, SDHA, SDHB, SDHC, SDHD, TMEM127, and MAX.	VHL	tumors	7428	HP_0002664	149	152	38	44	TRUE	C				
29462293	A third of patients with paraganglial tumors, pheochromocytoma, and paraganglioma, carry germline mutations in one of the susceptibility genes, RET, VHL, NF1, SDHAF2, SDHA, SDHB, SDHC, SDHD, TMEM127, and MAX.	VHL	pheochromocytoma	7428	HP_0002666	149	152	46	62	TRUE	C				
27261254	A third of patients with paraganglial tumors, pheochromocytoma, and paraganglioma, carry germline mutations in one of the susceptibility genes, RET, VHL, NF1, SDHAF2, SDHA, SDHB, SDHC, SDHD, TMEM127, and MAX.	VHL	paraganglioma	7428	HP_0002668	149	152	68	81	TRUE	C				
28687524	A third proband was doubly heterozygous for inherited rare variants in additional components of complex I, NDUFAF2 and NDUFB9, confirming that Histiocytoid CM is genetically heterogeneous.	NDUFAF2	heterogeneous	91942	HP_0001425	107	114	174	187	FALSE	I				
28791728	A third proband was doubly heterozygous for inherited rare variants in additional components of complex I, NDUFAF2 and NDUFB9, confirming that Histiocytoid CM is genetically heterogeneous.	NDUFB9	heterogeneous	4715	HP_0001425	119	125	174	187	FALSE	I				
27476655	A total of nine non-coding variants on 11q13.5 predispose men to prostate cancer (PrCa). rs200331695 within the EMSY intron is associated with aggressive PrCa and two high linkage disequilibrium (LD) groups of single-nucleotide polymorphisms (SNPs) in the intergenic region are associated with PrCa death.	EMSY	cancer	56946	HP_0002664	112	116	74	80	FALSE	I				
28920921	A xenograft model in which nude mice were injected with UBE2T knockdown human gastric cancer cells confirmed that suppression of UBE2T also decreased tumor formation and growth in vivo.	nude	tumor	54820	HP_0002664	27	31	150	155	FALSE	U	Ug5			
29215551	A xenograft model in which nude mice were injected with UBE2T knockdown human gastric cancer cells confirmed that suppression of UBE2T also decreased tumor formation and growth in vivo.	nude	cancer	54820	HP_0002664	27	31	86	92	FALSE	U	Ug5			
24169644	ABHD12 mutations have been linked to neurodegenerative PHARC (polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and early-onset cataract), a rare, progressive, autosomal, recessive disease.	ABHD12	ataxia	26090	HP_0001251	0	6	92	98	TRUE	C				
30747231	ABHD12 mutations have been linked to neurodegenerative PHARC (polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and early-onset cataract), a rare, progressive, autosomal, recessive disease.	ABHD12	progressive	26090	HP_0003676	0	6	157	168	FALSE	I				
28776571	Ablation of Sox2-expressing cells within primary invasive BCa led to enhanced tumor regression, supporting the essential role of SOX2-positive cells in regulating BCa maintenance and progression.	Sox2	tumor	6657	HP_0002664	12	16	78	83	TRUE	C	Ug2			
30136158	Ablation of Sox2-expressing cells within primary invasive BCa led to enhanced tumor regression, supporting the essential role of SOX2-positive cells in regulating BCa maintenance and progression.	BCa	tumor	29760	HP_0002664	58	61	78	83	TRUE	U	Ug3			
28029652	Abnormalities in these pathways cause autosomal dominant polycystic kidney disease (ADPKD) and naevoid basal cell carcinoma syndrome (NBCCS) respectively.	NBCCS	basal cell carcinoma	5727	HP_0002671	134	139	103	123	TRUE	U	Ug3			
26336158	Absence epilepsy (AE) is a common type of genetic generalized epilepsy (GGE), particularly in children.	era	epilepsy	2099	HP_0001250	53	56	8	16	FALSE	U	Ug5			
29246092	Acad10 mice accumulate excess abdominal adipose tissue, develop an early inflammatory liver process, exhibit fasting rhabdomyolysis, and have abnormal skeletal muscle mitochondria.	mice	rhabdomyolysis	23581	HP_0003201	7	11	117	131	FALSE	U	Ug5			
27807832	According to the Ottawa Heart Genomics Study genome-wide association study, a recent research identified that Q688 spastic paraplegia 7 (SPG7) variant is associated with CAD as it bypasses the regulation of tyrosine phosphorylation of AFG3L2 and enhances the processing and maturation of SPG7 protein.	SPG7	spastic paraplegia	6687	HP_0001258	137	141	115	133	TRUE	C	Ug2			
29321360	According to the Ottawa Heart Genomics Study genome-wide association study, a recent research identified that Q688 spastic paraplegia 7 (SPG7) variant is associated with CAD as it bypasses the regulation of tyrosine phosphorylation of AFG3L2 and enhances the processing and maturation of SPG7 protein.	CAD	spastic paraplegia	1677	HP_0001258	170	173	115	133	FALSE	U	Ug3			
28377405	Accordingly, overexpression of the Aα mutants in EC cells harboring wild-type PPP2R1A increased anchorage-independent growth and tumor formation, and triggered hyperphosphorylation of oncogenic PP2A-B56/B' substrates in the GSK3β, Akt, and mTOR/p70S6K signaling pathways.	Akt	tumor	207	HP_0002664	231	234	129	134	TRUE	C	Ug2			
20549361	ADAMTS18, located at 16q23.1, has been reported to be a critical TSG in multiple primary tumors; however, this has not yet been verified in clear cell renal cell carcinoma (ccRCC).	TSG	tumor	57045	HP_0002664	65	68	89	94	FALSE	U	Ug3			
28742274	Addition of exogenous SLURP1 (6XHis-tagged, E. coli expressed and partially purified using Ni-ion columns) significantly suppressed the tumor necrosis factor-α (TNF-α)-stimulated human umbilical cord vascular endothelial cell (HUVEC) tube formation.	SLURP1	tumor	57152	HP_0002664	22	28	136	141	FALSE	U	Ug1			
19334086	Addition of exogenous SLURP1 (6XHis-tagged, E. coli expressed and partially purified using Ni-ion columns) significantly suppressed the tumor necrosis factor-α (TNF-α)-stimulated human umbilical cord vascular endothelial cell (HUVEC) tube formation.	TNF	tumor	7124	HP_0002664	161	164	136	141	FALSE	U	Ug1	Incomplete ID		
28774369	Additional functional analyses suggested that CWC27 played an oncogenic role in bladder cancer by inducing cell proliferation and suppressing apoptosis.	CWC27	cancer	10283	HP_0002664	46	51	88	94	FALSE	I				
27553092	Additional predictors included age, as well as gender and the interaction of <i>MTHFR</i> 677 with overweight status (measured by body mass index) in predicting CRC, with the cancer group having more men and overweight cases.	era	cancer	2099	HP_0002664	65	68	175	181	FALSE	U	Ug5			
30128822	Additional protein interaction characterization revealed epidermal growth factor receptor (EGFR) as a novel interacting partner for RANK-c in breast cancer cells with a negative effect on EGFR phosphorylation and EGF-dependent downstream signaling pathway activation.	EGF	cancer	1950	HP_0002664	213	216	149	155	FALSE	I	Ug2			
29283210	Additional validation efforts and functional studies are warranted to demonstrate whether PAIP2B is a novel tumor suppressor gene and a potential therapeutic target for pancreatic cancer	PAIP2B	tumor	400961	HP_0002664	90	96	108	113	FALSE	I				
26915689	Additionally, CXCL1 increases the metastatic ability of a cancer by enhancing cell migration, matrix metalloproteinase-7 expression and EMT.	CXCL1	cancer	2919	HP_0002664	14	19	58	64	FALSE	I	Ug2			
14719106	Additionally, despite GDAP1 affecting mitochondrial functionality, and hence being of great importance to cellular function, the GDAP1‑associated Charcot-Marie-Tooth disease is mainly characterized by axonal degeneration.	great	axonal degeneration	122042	HP_0040078	86	91	201	220	FALSE	U	Ug5			
28586118	Additionally, HOXA11 can be a potential tumor suppressor	HOXA11	tumor	3207	HP_0002664	14	20	40	45	FALSE	C				
28577975	Additionally, immunohistochemistry staining and Western blot showed that highly expressed miR-135b-5p accelerated EMT process of pancreatic cancer cells.	EMT	cancer	3702	HP_0002664	114	117	140	146	TRUE	U	Ug1			
25351776	Additionally, inhibition of Chmp1A expression by shRNA induced tumor formation in normal renal cells.	Chmp1A	tumor	5119	HP_0002664	28	34	63	68	FALSE	I	Ug2			
29924831	Adult-type granulosa cell tumors of the ovary (aGCTs) are rare gynecologic malignancies that exhibit a high frequency of somatic FOXL2 c.C402G (p.Cys134Trp) mutation.	FOXL2	tumors	668	HP_0002664	129	134	26	32	FALSE	I				
30306264	Affected individuals presented with prenatal-onset spinal muscular atrophy (SMA), multiple congenital contractures (arthrogryposis multiplex congenita), respiratory distress, and congenital bone fractures.	SMA	congenital bone fractures	6606	HP_0005855	76	79	179	204	FALSE	U	Ug3			
23564352	Affected patients suffer from a progressive movement disorder including chorea, parkinsonism, dystonia, tongue protrusion, dysarthria, dysphagia, tongue and lip biting, gait impairment, progressive distal muscle wasting, weakness, epileptic seizures, cognitive impairment, and behavioral changes.	lip	tongue protrusion	23049	HP_0010808	157	160	104	121	FALSE	U	Ug5			
22561202	Affected patients suffer from a progressive movement disorder including chorea, parkinsonism, dystonia, tongue protrusion, dysarthria, dysphagia, tongue and lip biting, gait impairment, progressive distal muscle wasting, weakness, epileptic seizures, cognitive impairment, and behavioral changes.	lip	dystonia	23049	HP_0001332	157	160	94	102	FALSE	U	Ug5			
29303507	Affected patients suffer from a progressive movement disorder including chorea, parkinsonism, dystonia, tongue protrusion, dysarthria, dysphagia, tongue and lip biting, gait impairment, progressive distal muscle wasting, weakness, epileptic seizures, cognitive impairment, and behavioral changes.	lip	movement disorder	23049	HP_0100022	157	160	44	61	FALSE	U	Ug5			
